gene	atnos1	coi1	dde2	ein2-1	ein3	jar1	jin1	mpk3	mpk6	ndr1-1	nho1	nia2	npr1-1	pad4-1	pbs2-1	pen2	pmr4	rbohD	rbohF	rps2-101C	sag101	sid2-2
At1g02450	-0.345314804	0.734455266	0.357901046	-0.04295935	0.157765861	0.523914713	0.824507046	0.123519661	0.080681713	-3.882741972	-0.250952734	0.123223605	-2.436368139	-0.88124055	-0.162853639	0.270605932	-0.210032068	-0.171179004	-0.026276728	-1.343248972	0.067665266	-3.470206972
At1g03220	-0.65936254	0.007848596	-0.420795781	-0.226615671	-0.40201479	-0.855894114	-0.159538114	-0.05261719	-0.327030781	-2.567365249	0.416487596	0.118329969	-0.93240059	-0.875959271	-1.739557249	-0.352501737	0.380122263	-0.25538754	-1.555019364	-1.897694583	-0.019595404	-1.548809916
At1g03850	-0.491633957	1.023734512	0.167081701	0.104967477	0.031877468	-0.638209299	0.418686367	0.000636868	0.112183367	-2.596845284	-0.021821822	-0.150609007	-1.483824532	-1.164573923	-0.535890284	0.527432178	-0.227407488	-0.254066157	0.226691659	-1.575388618	0.445575178	-2.291355951
At1g05010	-0.540911825	-1.704854969	0.13063227	0.087729853	0.115644771	0.28187027	0.051275936	0.008582571	-0.212161397	-2.591495926	0.052432698	0.071809943	-0.797592829	-0.566789947	-0.315714259	0.510913365	-0.068068302	-0.524655625	0.31484861	-1.247498259	0.151496365	-1.126036593
At1g05340	-0.722486725	0.651767899	-0.598852523	0.167426217	-0.334810396	-0.481164857	0.196627143	0.125882604	-0.163858523	-4.605506835	0.012074899	0.130968929	-1.477804996	-1.371516583	-1.650256168	-0.392135434	0.401419899	-0.354885525	0.214339262	-4.200267168	0.636539899	-1.825783168
At1g05570	0.066652015	0.090055025	-0.335104933	0.01677119	-0.1234349	-0.030594933	-0.174177933	-0.0671915	-0.055039266	-1.041896784	-0.026475975	0.038351924	-0.4865557	-0.50494261	0.057210883	0.096388358	0.131261358	0.114523615	-0.005630742	-0.32278945	-0.048097642	-0.19763145
At1g05680	-0.113486948	-0.07424882	-0.203791057	0.394036141	-0.085442767	-0.012629724	0.182351943	0.115422833	-0.021913724	-0.25243621	0.08706318	-0.051642691	0.428576833	-0.168019659	-0.376979876	0.020115513	0.17513018	0.155318852	0.275215309	-0.558808543	0.261509513	-0.310772543
At1g08050	-0.000536374	0.567034622	0.032051618	0.042785001	-0.120555259	-0.199482715	0.152305951	-0.000339859	-0.293840715	-2.212880616	-0.186674378	0.330975758	-0.787927859	-0.358316799	-0.272567616	0.113384955	0.077547622	-0.075497774	-0.278493908	-0.755664949	0.107049955	-0.551842282
At1g08510	-0.110885492	-0.608099788	-0.137652051	-0.148405138	-0.176983165	-0.489856718	-0.229981385	-0.321757965	-0.128971385	-0.32048934	0.148816212	0.08890207	-0.100053765	-0.349754338	-0.136905674	-0.217051122	-0.070332122	-0.189128092	0.43297407	-0.19114234	-0.110273455	0.151419993
At1g08720	-0.02798756	0.215073124	-0.007800312	-0.017764299	-0.202486959	0.033459021	0.059029688	0.099447841	0.106739688	-0.284219878	0.004506124	-0.073440647	-0.369059759	0.024560301	0.006684122	0.216585124	0.154666124	-0.03509756	-0.031660314	-0.212828545	-0.057475209	-0.135120211
At1g08830	-0.526910278	-0.315785484	-0.297357497	0.371855943	-0.410205422	-0.009414497	0.048983503	-0.310150622	-0.263669164	-2.062344555	-0.125482484	-0.128427258	-0.379960222	-0.595193857	-0.343414555	0.04866085	0.04255585	0.125517922	0.061976408	-0.888447555	0.055578516	-0.909611555
At1g08930	-0.271773339	0.179543884	-0.156396688	-0.289025932	-0.015011166	0.237603645	-0.048199688	-0.054130966	-0.325004355	-0.497183299	-0.137087116	-0.179945976	-0.537831566	-0.452236732	-0.357709632	-0.192540782	-0.221106449	-0.295853139	0.034190024	0.149854035	-0.145521782	-0.441077965
At1g09070	-0.681509132	-0.173504854	-0.595416082	0.187924867	-0.383922675	-0.611809415	0.146353585	0.018263125	-0.140657082	-3.141096845	-0.304634854	-0.205152843	-1.277573075	-1.233201533	-1.411974845	-0.673730187	0.132309146	-0.085016932	-0.25407051	-2.749096179	0.028651146	-1.330884512
At1g09130	0.17394982	0.052201715	0.095392142	0.070482665	-0.047647316	-0.053752192	-0.034146858	-0.005021916	-0.015875192	0.585682777	0.346767049	0.039241368	0.089304284	0.185869265	0.182226444	0.083665049	0.046910382	-0.09274318	0.101462702	0.239759777	0.125164382	0.08682211
At1g09200	0.008663936	0.531023888	0.479519003	0.061456048	0.07016852	0.138922003	0.260321003	0.06865252	0.040530003	-0.466893117	-0.138600779	-0.197537304	0.04575652	-0.116997352	-0.136433784	0.303798888	-0.049242446	-0.031943864	-0.008673304	-0.117627784	0.268154888	-0.21065945
At1g09350	0.481143053	0.685520281	0.161911762	0.149509209	-0.015986174	-0.107412904	-0.035333904	0.381193826	0.155350096	0.498748068	0.081950281	0.825424808	0.435241226	0.353943209	-0.071911932	0.338158614	0.249598281	0.446282053	0.213406808	0.536162401	0.116952614	-0.051556599
At1g09970	0.436048243	-0.198611026	0.063393627	0.532705025	0.291994405	0.562329627	-0.193043706	0.360860605	0.056424627	-0.708520339	0.381542307	-0.095381309	0.522875605	0.676064225	-0.034525339	0.186275307	0.549881307	0.442810043	-0.172283309	-0.391259006	0.308596641	-0.814297339
At1g10070	-0.188652742	-0.167334627	-0.079955707	-0.18831599	-0.003103756	0.045958627	0.055361627	-0.061662956	0.008088293	-0.700445763	-0.037445961	-0.053135349	-0.132884356	-0.10805619	-0.226944763	0.313057039	0.203855706	-0.009280942	0.215158651	-0.285082096	0.203914373	-0.47319543
At1g10170	-0.044732301	0.534292236	-0.135485579	-0.08500405	-0.115552905	-0.134987579	0.080986088	-0.038485105	-0.031250579	-0.522149822	0.075872569	0.031473094	-0.115814105	-0.31753625	-0.378543822	-0.016380098	0.189699236	-0.071691901	0.14987176	-0.598147489	0.150483902	-0.367433822
At1g10585	-0.513177746	-3.28228723	-1.436788078	-1.319901382	-0.740982559	-0.345869078	-0.218185745	0.122177441	-0.206374078	-1.115229449	0.000448104	-0.068551056	-0.376080559	-0.097933982	-0.046346116	-0.063368563	0.17817777	-0.128607946	-0.133526723	-0.347114782	0.03192777	-0.537352782
At1g11260	0.616764066	-0.591939254	0.015727195	0.073159796	0.276111944	0.519629195	-0.183617805	0.159487344	0.226631195	1.041503615	-0.219714587	0.104336066	0.304113144	1.011207196	0.570736949	-0.162277921	0.075804079	0.142402866	-0.296771268	1.363952282	-0.180160587	0.350505949
At1g11310	-0.417990272	0.767704519	-0.033201943	0.240901628	-0.029248465	0.20152239	0.187100723	0.288513735	-0.08779161	-2.980150122	0.038230852	-0.270608289	-1.797637265	-0.580676972	-0.276505789	0.753087186	0.409345519	-0.294306872	-0.269819956	-1.559291789	0.460022519	-2.264632122
At1g11580	-0.008327013	-1.225200111	0.237947055	-0.022917217	0.155234369	-0.055208945	-0.422275945	-0.065276431	0.029894389	1.601855745	0.245002555	0.190409085	0.708901369	0.915437783	0.415955078	-0.221176778	0.127797222	0.116099987	0.301821752	1.402149078	-0.059913778	0.992787078
At1g11650	0.14917784	0.073884546	0.113095559	-0.081994515	0.094134524	0.004614892	0.004877225	0.113916524	0.152759559	0.221739161	-0.086738454	0.16197642	0.061818924	0.171911485	0.309900161	-0.110273121	0.228288212	0.02265364	0.158838087	0.383914828	0.124543546	-0.074398172
At1g12110	0.084034388	-1.549111839	-0.325877871	-0.454945682	-0.146989643	0.095292462	0.240236129	-0.263563643	0.307072462	1.356483064	0.164723161	0.234830514	-0.017968043	0.130420118	-0.323854269	-0.382942173	0.091144494	-0.258893812	0.012132514	0.254680731	-0.140028839	0.401637731
At1g12240	0.146024386	-0.275186274	0.051389416	0.143534838	0.147413559	-0.159745584	0.01028375	0.000259559	0.075692416	2.396260214	-0.037095607	0.076581127	0.411429159	0.458601838	0.468974214	-0.102261607	0.091108393	0.073410786	-0.035914539	1.902591214	-0.202235607	0.388958881
At1g13320	-0.11555727	0.149769021	-0.055409108	-0.104715277	-0.084026664	-0.014504108	-0.065857108	-0.180495864	-0.146705775	-0.100614463	0.101072021	-0.127611784	0.006514536	-0.217235277	-0.34505813	0.119835687	0.000671354	-0.05012247	-0.075577784	-0.073294463	0.080232687	-0.011129796
At1g14870	-0.72379546	-0.112147242	-0.678654716	0.388575022	-0.574904042	-0.475392716	0.030270284	0.119302558	-0.176565049	-5.441364609	0.062332425	-0.093410079	-1.348652042	-1.548168378	-1.926446943	0.052572758	0.374432092	-0.44363926	0.038520921	-3.313870276	0.189527092	-2.091244943
At1g14980	-0.290271833	-0.071028679	-0.087020994	0.103754185	-0.142416849	-0.062784328	-0.090553994	-0.116359649	-0.102422661	-0.762523938	0.035599655	0.204124699	0.125420751	-0.275925215	-0.153839938	-0.028520679	-0.295483679	0.176296367	0.206436365	-0.118365272	0.148557655	0.126749728
At1g15210	0.318171051	0.679177717	0.352146657	-0.142363739	0.35221133	0.177334324	0.331114324	0.07911133	0.069953991	-0.141158125	-0.09654195	0.121432525	0.10712073	-0.151270939	0.091934541	0.07034905	0.321353384	0.142884051	-0.232454142	-0.102601792	0.041963384	-0.039035459
At1g15670	-0.276243661	-1.636644402	-0.779642824	-0.681933786	-0.365893677	-0.557062824	-0.228660158	-0.346959877	-0.080917158	-0.962925006	0.178800265	0.058110536	-0.328644077	-0.180926586	0.057432994	-0.329329402	0.286245598	-0.078009661	0.218318536	-0.243803672	-0.302678068	0.200675994
At1g17020	-0.091874539	-0.242288206	-0.081584679	-0.090011383	-0.24903426	0.177994988	0.177309988	0.01651314	0.143407321	-0.576162884	-0.074268873	0.027335856	-0.25892066	-0.188782783	0.209690116	-0.024717206	0.09413346	-0.136636139	0.162312523	-0.273760551	-0.022521873	-0.373826217
At1g17420	-0.170202729	-1.724281275	-0.403616487	0.079335187	-0.130191892	-0.179177154	-0.464428154	0.043072908	-0.106462154	0.618239644	0.022184725	-0.212089883	-0.070903492	-0.227165213	-0.13839069	-0.377647275	0.170246725	-0.206773929	-0.872889216	0.324579977	-0.047003608	-0.30630369
At1g18350	-0.157690214	-0.190899235	0.189730911	-0.265166965	-0.310953427	-0.111829422	-0.222908089	0.018066173	0.144166911	-0.524843986	0.141272432	0.213425932	-0.224555027	0.058825435	-0.30217632	0.022513098	-0.158381568	0.039244186	-0.085746401	-0.373998653	0.042787432	-0.21441532
At1g19150	0.302469712	-0.141492228	0.074919632	0.003196915	0.174437049	0.303128632	0.148759299	0.055386649	-0.076861368	1.376233741	-0.043346895	0.139930738	0.630793449	0.474709715	0.634149741	0.234156772	-0.046819561	0.117726112	0.287063071	1.185107741	-0.078262228	0.124868075
At1g19250	-1.196324569	-0.497517745	-0.195210425	-0.028870571	-0.359339497	-0.794765092	-0.302005425	-0.515651297	-0.380798759	-3.982639215	-0.235221078	-0.398265878	-0.420265697	-2.076570971	-1.074166215	-0.635007411	0.018685589	0.042803231	0.345562122	-3.150999215	0.308141255	-0.630944215
At1g19670	0.662048008	-5.664051631	0.388188339	-0.252131324	0.324183113	0.468390006	-0.517482327	0.276458913	0.317840006	2.410998278	0.241992036	0.316635165	1.736065913	1.566097276	1.470804944	-0.455729964	0.196792036	0.548725808	0.276461831	0.948181611	-0.189932631	0.595430944
At1g19850	0.161446638	0.166885975	-0.209968185	-0.144038194	0.033153807	-0.264256518	-0.215928185	0.168154607	0.199532149	-0.168940521	0.122280975	-0.130265133	-0.010467193	-0.086474794	-0.333822521	0.313074975	0.615729642	-0.018402362	-0.117220466	-0.059526187	0.387949308	-0.250625187
At1g20200	-0.11419313	-0.227658325	0.079684749	-0.291554473	-0.020938699	-0.121180584	0.145182082	-0.158716899	-0.011002584	-0.596562541	-0.265954992	-0.030200969	0.002129301	-0.122519873	-0.232499874	-0.015025325	-0.268636992	-0.01192873	-0.095427635	-0.671060874	0.313201008	0.108175126
At1g20440	0.052622138	0.466465304	-0.343985912	0.120073676	0.102398102	0.349906088	-0.006869912	0.381407702	0.261504088	1.503386711	0.237558638	0.123471481	0.641363102	0.227597676	-0.251038289	-0.078732696	0.102008304	-0.030271262	0.071759481	1.205982044	-0.189911029	0.072438711
At1g21240	-0.928629076	0.26839701	-0.510105258	0.465448453	-0.389537326	-0.492985591	-0.498520258	-0.208544726	-0.529444925	-2.272073626	0.11787501	-0.126479174	-1.006878526	-1.250428747	-0.882665626	-0.223375323	0.08471401	-0.351776276	-0.838413841	-1.613568293	0.023040677	-1.156391626
